transect_id,pc_id,lat,lon,year,species_code,scientific_name,common_name,hab_type
POT338,POT338_2019PC1,17.39743397,-90.01065097,2019,melbla1,Dives dives,Melodious Blackbird,pasture
POT338,POT338_2019PC1,17.39743397,-90.01065097,2019,socfly1,Myiozetetes similis,Social Flycatcher,pasture
POT338,POT338_2019PC1,17.39743397,-90.01065097,2019,grycat,Dumetella carolinensis,Gray Catbird,pasture
POT338,POT338_2019PC1,17.39743397,-90.01065097,2019,blbgra1,Volatinia jacarina,Blue-black Grassquit,pasture
POT338,POT338_2019PC2,17.39760596,-90.00865499,2019,indbun,Passerina cyanea,Indigo Bunting,pasture
POT338,POT338_2019PC2,17.39760596,-90.00865499,2019,gycyel,Geothlypis poliocephala,Gray-crowned Yellowthroat,pasture
POT338,POT338_2019PC2,17.39760596,-90.00865499,2019,labwoo,Dryobates scalaris,Ladder-backed Woodpecker,pasture
POT338,POT338_2019PC2,17.39760596,-90.00865499,2019,blbgra1,Volatinia jacarina,Blue-black Grassquit,pasture
POT338,POT338_2019PC2,17.39760596,-90.00865499,2019,relpar10,Amazona autumnalis,Red-lored Amazon,pasture
POT338,POT338_2019PC2,17.39760596,-90.00865499,2019,brnjay,Cyanocorax morio,Brown Jay,pasture
POT338,POT338_2019PC3,17.398259,-90.00635499,2019,tromoc,Mimus gilvus,Tropical Mockingbird,pasture
POT338,POT338_2019PC3,17.398259,-90.00635499,2019,fotfly,Tyrannus savana,Fork-tailed Flycatcher,pasture
POT338,POT338_2019PC3,17.398259,-90.00635499,2019,whcsee1,Sporophila morelleti,Morelet's Seedeater,pasture
POT338,POT338_2019PC3,17.398259,-90.00635499,2019,blbgra1,Volatinia jacarina,Blue-black Grassquit,pasture
POT338,POT338_2019PC3,17.398259,-90.00635499,2019,indbun,Passerina cyanea,Indigo Bunting,pasture
POT338,POT338_2019PC3,17.398259,-90.00635499,2019,gycyel,Geothlypis poliocephala,Gray-crowned Yellowthroat,pasture
POT338,POT338_2019PC3,17.398259,-90.00635499,2019,leafly,Empidonax minimus,Least Flycatcher,pasture
POT338,POT338_2019PC4,17.399309,-90.00466897,2019,magwar,Setophaga magnolia,Magnolia Warbler,pasture
POT338,POT338_2019PC4,17.399309,-90.00466897,2019,grekis,Pitangus sulphuratus,Great Kiskadee,pasture
